Sr_No,Hospital_Name,Hospital_Category,Hospital_Care_Type,Discipline_Systems_of_Medicine,Address_Original_First_Line,Location,State,District,Subdistrict,Pincode,Telephone,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Website,Specialties,Facilities,Establised_Year,Emergency_Services,latitude,longitude,total_beds,position_group
19589,Lila Hospital,,,,"4302, Somwar Peth Pandey Chowk Pandey Chowk","4302, Somwar Peth Pandey Chowk Pandey Chowk",Maharashtra,Solapur,,413401,,,,,,,,,,,,,
19590,Mohire Balrugnalaya,,,,"Old Chati Galli, Barshi","Old Chati Galli, Barshi",Maharashtra,Solapur,,413401,,,,,,,,,,,,,
19591,Rathi Hospital,,,,Tilak Chowk,"Tilak Chowk, Solapur",Maharashtra,Solapur,,413401,,,,,,,,,,17.6599188,75.9063906,,"17.66, 75.906"
19592,Samatti Clinic,,,,Barshi,Barshi,Maharashtra,Solapur,,413401,,,,,,,,,,18.2333856,75.6941478,,"18.233, 75.694"
19593,Sanjeevani Nursing Home,,,,"Kurduwadi Road, Chhatrapati Colony, Barshi","Kurduwadi Road, Chhatrapati Colony, Barshi",Maharashtra,Solapur,,413401,,,,,,,,,,18.2329054,75.6912806,,"18.233, 75.691"
19594,Shri Bhaveshwar Hospital,,,,"207, Raviwar Peth, Rajendra Chowk","207, Raviwar Peth, Rajendra Chowk, Solapur",Maharashtra,Solapur,,413401,,,,,,,,,,17.6599188,75.9063906,,"17.66, 75.906"
19595,Somani Hospital and Shree Critical Care Centre,,,,"Ainapur Road,Manurkarmath, Barsi,Ainapur Maruthi Mandir","Ainapur Road,Manurkarmath, Barsi,Ainapur Maruthi Mandir, .",Maharashtra,Solapur,,413401,,,,,,,,,,,,,
19596,Sri Ram Hospital,,,,"107/2, Nishvasaha Centre , Opp Traffic Police Station Old Madras Road, Krishnarajapuram Old Madras Road, Krishnarajapuram","107/2, Nishvasaha Centre, Opp Traffic Police Station Old Madras Road, Krishnarajapuram Old Madras Road, Krishnarajapuram",Maharashtra,Solapur,,413401,,,,,,,,,,13.0040167,77.6877765,,"13.004, 77.688"
19597,Viraj Institute For Minimal Acess Surgery and Reserch Center,,,,"155/2/9/, Subhash Nagar , Opposite Barshi Textile Mill, Agalgaon Road , Barshi","155/2/9/, Subhash Nagar, Opposite Barshi Textile Mill, Agalgaon Road Barshi",Maharashtra,Solapur,,413401,,,,,,,,,,,,,
19598,Yadav Hospital,,,,"Baleshwar Naka, Kurduwadi Road Barshi","Baleshwar Naka, Kurduwadi Road Barshi",Maharashtra,Solapur,,413401,,,,,,,,,,21.4869337,86.9246005,,"21.487, 86.925"
19599,Dr Jagadale Mama Hospital,,,,"Jagadale Mama Hospital, Shivaji Nagar Barsi","Jagadale Mama Hospital, Shivaji Nagar Barsi",Maharashtra,Solapur,,413411,,,,,,,,,,,,,
19600,Dr Joshi Hospital,,,,Near Highway Bus Stop Kurduwadi Road Kurduwadi Road,Near Highway Bus Stop Kurduwadi Road Kurduwadi Road,Maharashtra,Solapur,,413411,,,,,,,,,,,,,
19601,Aakashdeep Hospital and I.C.U,,,,"Amar House, 1St Floor,Plot No.98,Sector - 7,Kopar Khairne,Main Road","Amar House, 1St Floor,Plot No.98,Sector - 7,Kopar Khairne,Main Road",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19602,Aishwarya Nursing Home - Thane,,,,"Darshan Tower, Dr. Ambedkar Road, Thane (W)","Darshan Tower, Dr. Ambedkar Road, Thane (W)",Maharashtra,Thane,,400601,,,,,,,,,,19.2011685,72.9751825,,"19.201, 72.975"
19603,Ajinkya Nursing Home,,,,"White House Apt, Opp Punjabi Estate, Khopar, Thane West","White House Apt, Opp Punjabi Estate, Khopar, Thane West-",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19604,Akshaya Surgical And Maternity Home,,,,Savio Apts. Kolbad Naka Old Agra Road,Savio Apts. Kolbad Naka Old Agra Road Thane,Maharashtra,Thane,,400601,,,,,,,,,,,,,
19605,American Heart Institute,,,,"Opposite Mahindra Global Gallary Near Tatvayan Vidya Peeth,Ghaodbunder Road,T","Opposite Mahindra Global Gallary Near Tatvayan Vidya Peeth,Ghaodbunder Road,T",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19606,Apex Kidney Care Pvt. Ltd (Mira Road),,,,"101, Eden Rose Shopping Complex,Opposite Cinemax Multiplex,Beverly Park, Mira Road(E)","101, Eden Rose Shopping Complex,Opposite Cinemax Multiplex,Beverly Park, Mira Road (E),Thane",Maharashtra,Thane,,400601,,,,,,,,,,19.293624,72.8714864,,"19.294, 72.871"
19607,Bardkar Hospital,,,,"A- 3, Meera Queen, Opp Laxmi Cars, Westerna Express, Highway Kashmira, Mira Road","A- 3, Meera Queen, Opp Laxmi Cars, Westerna Express, Highway Kashmira, Thane, Mira Road",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19608,Bodas Surgical And Maternity Home,,,,"2Nd Floor,Near Saibaba Mandir,Ghantali Road","2Nd Floor,Near Saibaba Mandir,Ghantali Road",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19609,Dhanvantri Childrens Hospital,,,,"2Nd Floor, Mohan Heritage Building, Opp Tmc Offices Panchpakhadi Thane (West)","2Nd Floor, Mohan Heritage Building, Opp Tmc Offices Panchpakhadi,Thane(West), Thane",Maharashtra,Thane,,400601,,,,,,,,,,19.1954727,72.9652491,,"19.195, 72.965"
19610,Dr Aphale Eye Hospital,,,,"B Wing, Thakkar House, Castle Mill Naka, Opposite Holy Cross School","B Wing, Thakkar House, Castle Mill Naka, Opposite Holy Cross School,",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19611,Dr Bhanushali Hospital,,,,Kaushalya Shivaji Path Thane - West,Kaushalya Shivaji Path Thane - West,Maharashtra,Thane,,400601,,,,,,,,,,19.1881428,72.9759446,,"19.188, 72.976"
19612,Dr Malatibai Chitnis Clinic and Hospital,,,,"Madhu - Malati, Malatibai Chitnis Chowk, V. S Marg ,Thane(W)","Madhu - Malati, Malatibai Chitnis Chowk, V. S Marg,Thane ( W ) Mumbai",Maharashtra,Thane,,400601,,,,,,,,,,19.2266605,72.9838366,,"19.227, 72.984"
19613,Dr Manish Patankars Nath Hospital,,,,"101, A-Wing, Golden Havens Apartments, Kolbad Road, Khopta","101, A-Wing, Golden Havens Apartments, Kolbad Road, Khopta",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19614,Dr Mrs Jyotsana Jagtap's Ent Hospital and Hearing Aid Centre,,,,"110/A,Krishna Tower,2Nd Floor,Kapurbawadi Naka,Above Sanman Hotel,T","110/A,Krishna Tower,2Nd Floor,Kapurbawadi Naka,Above Sanman Hotel,T",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19615,Dr Vaidyas Eye Center,,,,"6, Krishna Appt., Near Waman Hari Pethe Jewellers, Dada Patil Wadi, Naupada","6, Krishna Appt., Near Waman Hari Pethe Jewellers, Dada Patil Wadi, Naupada, Thane",Maharashtra,Thane,,400601,,,,,,,,,,19.1902827,72.9711542,,"19.19, 72.971"
19616,Dr Wavikars Eye Hospital,,,,"4Th & 5Th Floor Level, Amber Arcade , Off Bhiwandi Bypass Road, Near Lodha Paradise, Majiwadi","4Th & 5Th Floor Level, Amber Arcade, Off Bhiwandi Bypass Road, Near Lodha Paradise, Majiwadi,",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19617,Dr. Gadgils Eye Hospital,,,,"Gr. Floor, Shreyas Apt.","Gr. Floor, Shreyas Apt. Thane",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19618,Dr. Godbole`S Heart Care Centre Pvt. Ltd.,,,,"M.G. Road, Naupada, Thane (W)","M.G. Road, Naupada,Thane(W)",Maharashtra,Thane,,400601,,,,,,,,,,19.1902827,72.9711542,,"19.19, 72.971"
19619,Dr. Goyal`S Children and General Hospital,,,,"01,02,03, Ec-36 Sai Aangan, Evershine City, Vasai (East)","01,02,03, Ec-36 Sai Aangan, Evershine City, Vasai (East)",Maharashtra,Thane,,400601,,,,,,,,,,19.3942114,72.8633635,,"19.394, 72.863"
19620,Dr. Mittal`S New Health Care Nursing Home,,,,"Satellite Park, Near Green Court Club, Hatkesh, Mira Rd, (E) Mumbai","Satellite Park, Near Green Court Club, Hatkesh, Mira Rd, (E) Mumbai Thane",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19621,Dr. Priyas Sai Niwas Maternity and Surgical Nursing,,,,"28/29,A Bldg., C Wing Hira Moti Complex, Shivaji Nagar, Wagle Estate","28/29,A Bldg., C Wing Hira Moti Complex, Shivaji Nagar, Wagle Estate, Thane",Maharashtra,Thane,,400601,,,,,,,,,,19.1867519,72.9545494,,"19.187, 72.955"
19622,"Dr. Ravi,S Clinic Nursing Home andNew Born Centre",,,,D-0/002 Santoor Ground Flr. Lokpuram Off. 2Nd Pokhran Rd. Thane (W),D-0/002 Santoor Ground Flr. Lokpuram Off. 2Nd Pokhran Rd. Thane (W),Maharashtra,Thane,,400601,,,,,,,,,,,,,
19623,Dr.Nalavade Multispeciality Hospital,,,,"1St Floor, Om Deep Sai-Pija Co-Op. Hsg. Society,L.B.S. Marg, Opposite Kadambari Bldg, Charai Naka, Charai","1St Floor, Om Deep Sai-Pija Co-Op. Hsg. Society,L.B.S. Marg, Opposite Kadambari Bldg, Charai Naka, Charai,Thane.",Maharashtra,Thane,,400601,,,,,,,,,,19.1985423,72.9748448,,"19.199, 72.975"
19624,Dr.Pathak`S Nursing Home,,,,"Ist Floor,Saraswati Niwas,Opposite Malhar Cenema,Gokhale Road,Naupada","Ist Floor,Saraswati Niwas,Opposite Malhar Cenema,Gokhale Road,Naupada,Thane",Maharashtra,Thane,,400601,,,,,,,,,,19.1871159,72.9694667,,"19.187, 72.969"
19625,Ganesh Hospital,,,,Palghar,Palghar,Maharashtra,Thane,,400601,,,,,,,,,,19.4607404,72.817476,,"19.461, 72.817"
19626,Gayatri Maternity and Ent Hospital,,,,"A/4 Sector 4,Shanti Nagar Mira Road","A/4 Sector 4,Shanti Nagar Mira Road",Maharashtra,Thane,,400601,,,,,,,,,,19.277098,72.8591019,,"19.277, 72.859"
19627,Hitankshi Polyclinic and Nursing Home,,,,"F-004,Indraprastha Society,Behind Ayyappa Temple,Poonam Sagar","F-004,Indraprastha Society,Behind Ayyappa Temple,Poonam Sagar",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19628,Jai Hospital,,,,"101-102, Sai Sadan Society, 1St Floor, Ganesh Cinema Compound, Opposite Charai Telphone Exchange","101-102, Sai Sadan Society, 1St Floor, Ganesh Cinema Compound, Opposite Charai Telphone Exchange, Thane(West",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19629,Janam Hospital,,,,"1St Floor, Nirmal Apartmens, Uttam Angrey Road, Joshiwala Charai","1St Floor, Nirmal Apartmens, Uttam Angrey Road, Joshiwala Charai, Thane,",Maharashtra,Thane,,400601,,,,,,,,,,19.1985423,72.9748448,,"19.199, 72.975"
19630,Jayashree Raj Lions Medical Centre,,,,"Prabhavati Towers Basement, Behind Shivsena Shakha, Khopat ,Thane(W)","Prabhavati Towers Basement, Behind Shivsena Shakha, Khopat, Thane(W)",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19631,Jupiter Lifeline Hospitals Ltd.,,,,"Opposite Flower Valley, Eastern Express Highway, Thane(W)","Opposite Flower Valley, Eastern Express Highway, Thane(W), Thane,",Maharashtra,Thane,,400601,,,,,,,,,,19.2074008,72.9725836,,"19.207, 72.973"
19632,Jyotimay Eye Hospital,,,,"205 Ganatra Estate, Khopat, Mumbai-Thane Rd.","205 Ganatra Estate, Khopat, Mumbai-Thane Rd, Thane,",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19633,Kaushalya Medical Foundation Trust Hospital,,,,"Ganeswadi, B/H Nitin Casting Company, Panchpakhodi, Thane(w)","Ganeswadi, B/H Nitin Casting Company, Panchpakhodi, Thane (W)",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19634,Mauli Mat and Children S Hospital,,,,"Ground Floor, Siddhi Building","Ground Floor, Siddhi Building,",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19635,Monish Nursing Home,,,,Parkar Building 2Nd Floor Above Canara Bank Dombivli East,Parkar Building 2Nd Floor Above Canara Bank Dombivli East Thane-,Maharashtra,Thane,,400601,,,,,,,,,,19.2057161,73.0955302,,"19.206, 73.096"
19636,Nityanand Nursing Home,,,,"Bali Bazar, Kalyan(W)","Bali Bazar, Kalyan(W)",Maharashtra,Thane,,400601,,,,,,,,,,19.2374286,73.1255989,,"19.237, 73.126"
19637,Om Children Maternity and Surgical Nursing Home,,,,Wagle Estate,Wagle Estate,Maharashtra,Thane,,400601,,,,,,,,,,19.1867519,72.9545494,,"19.187, 72.955"
19638,Param Hospital And Icu - Thane (W),,,,"2Nd Floor, Golden Park, Gokul Nagar, Next To Wood Plaza, L B S Road","2Nd Floor, Golden Park, Gokul Nagar, Next To Wood Plaza, L B S Road,",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19639,Parmar Nursing Home,,,,"Bldg.No.A/8,Shanti Park, Phase-3,Mira Road (E)","Bldg.No.A/8,Shanti Park, Phase-3,Mira Road (E)",Maharashtra,Thane,,400601,,,,,,,,,,19.2896128,72.8596712,,"19.29, 72.86"
19640,Pioneer Health Care,,,,"101, Kalika Towers, Opposite Pratap Cinema, Kolbad Road","101, Kalika Towers, Opposite Pratap Cinema, Kolbad Road, Thane (W) -",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19641,R.G.Stone Urology and Laparoscopy Hospital,,,,"C/O Bhakti Vedanta Hospital,Mira Road(East,Shrishti Complex,T","C/O Bhakti Vedanta Hospital,Mira Road(East,Shrishti Complex,T",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19642,Ramakrishna Eye Clinic and Kalindi Netralaya,,,,Dahanu Road (W),Dahanu Road (W),Maharashtra,Thane,,400601,,,,,,,,,,,,,
19643,Ranade Super-Speciality Eye Centre,,,,"215/216, Prestige Precinct, Near Nitin Company , Almeida Road, Panchpakhadi","215/216, Prestige Precinct, Near Nitin Company, Almeida Road, Panchpakhadi Thane -(W)",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19644,Renuka Nursing Home,,,,"Govardhan Dham,1St Floor, OppositeS.T.Workshop, Ambedkar Road","Govardhan Dham,1St Floor, OppositeS.T.Workshop, Ambedkar Road, Thane",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19645,Risk Care Hospital,,,,1St Floor Shirin Appartment Old Agra Mumbai Road Thane West,1St Floor Shirin Appartment Old Agra Mumbai Road Thane - West,Maharashtra,Thane,,400601,,,,,,,,,,,,,
19646,Sahil Hospital,,,,"1St Floor, Tawde Niwas, Opposite Thane Janata Sahakari Bank, Khopat, Thane(w)","1St Floor, Tawde Niwas, Opposite Thane Janata Sahakari Bank, Khopat, Thane (W)",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19647,Sai- Krupa General Hospital,,,,"3/23, Sai Prasad Co-Op. Society, Kannamwar Nagar, Vikhroli","3/23, Sai Prasad Co-Op. Society, Kannamwar Nagar, Vikhroli, Thane",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19648,Sai Medi Surge Hospital,,,,"Opposite Mahindra Global Gallery, Near, Tatvagyan Vidyapeeth,Ghodbunder Road","Opposite Mahindra Global Gallery, Near, Tatvagyan Vidyapeeth,Ghodbunder Road",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19649,Shraddha General Hospital and Icu Centre,,,,"1St Floor, Vishal Marriage Hall Building,Hospital Road","1St Floor, Vishal Marriage Hall Building,Hospital Road,",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19650,Shree Ramkrishna Netralaya,,,,"A- 102/103, Shree Balaji Co-Op. Hsg. Society Near Makhmali Talao, L.B.S. Road (Agra Road ) Panchpakhadi","A- 102/103, Shree Balaji Co-Op. Hsg. Society Near Makhmali Talao, L.B.S. Road (Agra Road ) Panchpakhadi",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19651,Shree Swami Samartha Netralaya,,,,"1St Floor, Damodar Apartments, Behind Ashok Talkies Datta Mandir, Thane(w)","1St Floor, Damodar Apartments, Behind Ashok Talkies Datta Mandir Thane(W)-",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19652,Shrikisha Hospital,,,,"5A Ostwal Park, Jaisal Park Road, Near Lic Office, Near Jain Temple, Bhayender W","5A Ostwal Park, Jaisal Park Road, Near Lic Office, Near Jain Temple, Bhayender W Thane",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19653,Shrivali Maternity and Surgical Nursing Home,,,,"First Floor, Kapila Vastu Build No. 3, Above Hotel Swara, Near Pratap Cinema, Kolbad Road, Thane (W) Near Pratap Cinema, Kolbad Road","First Floor, Kapila Vastu Build No. 3, Above Hotel Swara, Near Pratap Cinema, Kolbad Road, Thane (W) Near Pratap Cinema, Kolbad Road, Thane (W)",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19654,Silotri Hospital,,,,"Bldg No-3-B, Brindavan Society","Bldg No-3-B, Brindavan Society, Thane",Maharashtra,Thane,,400601,,,,,,,,,,19.212245,72.960029,,"19.212, 72.96"
19655,Smiles Unlimited Dental Clinic,,,,"6, Maitri Lily, Adjacent To Oswal Park, Pokhran Road No.2, Thane (W)","6, Maitri Lily, Adjacent To Oswal Park, Pokhran Road No.2, Thane (W)",Maharashtra,Thane,,400601,,,,,,,,,,19.2140149,72.9771604,,"19.214, 72.977"
19656,Somika Laser Eyes Surgery Centers,,,,"Ramtirth Society, Ram Maruti Road, Naupada, Thane (W)","Ramtirth Society, Ram Maruti Road, Naupada, Thane(W)",Maharashtra,Thane,,400601,,,,,,,,,,19.1911864,72.9724048,,"19.191, 72.972"
19657,Sunjeevan Hospital and I C U,,,,"1St Floor, Adnaan Mahal, Near Holy Cross High School , Thane West","1St Floor, Adnaan Mahal, Near Holy Cross High School, Thane West,",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19658,Swami Health Care,,,,"101, 1St Floor S-3, Vedant Commercial Complex, Vartak Nagar, Thane West","101, 1St Floor S-3, Vedant Commercial Complex, Vartak Nagar, Thane West",Maharashtra,Thane,,400601,,,,,,,,,,,,,
19659,Thane Health Care Hospital,,,,"Naupada, Thane (W)","Naupada, Thane (W).",Maharashtra,Thane,,400601,,,,,,,,,,19.1902827,72.9711542,,"19.19, 72.971"
19660,Thane Ultrasound Centre,,,,Shanti Niwas Dr Moose Road Talaopali Thane W,Shanti Niwas Dr Moose Road Talaopali Thane W,Maharashtra,Thane,,400601,,,,,,,,,,,,,
19661,Vijay Ent Hospital,,,,Virar(W),Virar(W),Maharashtra,Thane,,400601,,,,,,,,,,19.4618817,72.7776581,,"19.462, 72.778"
19662,Waris Nursing Home,,,,45 Old Gauri Pada Thane Road Bhiwandi,45 Old Gauri Pada Thane Road Bhiwandi,Maharashtra,Thane,,400601,,,,,,,,,,19.2812547,73.0482912,,"19.281, 73.048"
19663,Aasha Cancer Hospital And Children First,,,,"1St Floor, Ajit Darshan , 3, Petrol Pump,","1St Floor, Ajit Darshan, 3, Petrol Pump, Thane",Maharashtra,Thane,,400602,,,,,,,,,,,,,
19664,Aayush Multispeciality Hospital,,,,"Mari Gold Panch Pakhadi, OppositeNitin Company Junction","Mari Gold Panch Pakhadi, OppositeNitin Company Junction",Maharashtra,Thane,,400602,,,,,,,,,,,,,
19665,Abhimaan Maternity and Surgical Hospital - Thane,,,,"Abhimman, 1St Floor, Near Traffic, Police Chowky, Teen Hath Naka, Mumbai-Agra Road, Thane (W)","Abhimman, 1St Floor, Near Traffic, Police Chowky, Teen Hath Naka, Mumbai-Agra Road, Thane (W)",Maharashtra,Thane,,400602,,,,,,,,,,19.2891713,73.0337355,,"19.289, 73.034"
19666,Amber Eye Care And Microsurgery Centre,,,,"1St Floor,Hosbanoo Mansion,Ice Factory Bldg,Above Kohinoor Televideo,Naupada,Gokhale Road","1St Floor,Hosbanoo Mansion,Ice Factory Bldg,Above Kohinoor Televideo,Naupada,Gokhale Road,Thane",Maharashtra,Thane,,400602,,,,,,,,,,19.1871159,72.9694667,,"19.187, 72.969"
19667,Ashwini Maternity and Nursing Home,,,,"1St Flr, Rima Chambers Near Perfect Driving School Talao Pali","1St Flr, Rima Chambers Near Perfect Driving School Talao Pali Thane",Maharashtra,Thane,,400602,,,,,,,,,,19.1982854,72.9707381,,"19.198, 72.971"
19668,Bapat Nursing Home,,,,"Near Rupee Co-Op. Bank, A.K. Vaidya Marg, Panch Pakhadi","Near Rupee Co-Op. Bank, A.K. Vaidya Marg, Panch Pakhadi, Thane,",Maharashtra,Thane,,400602,,,,,,,,,,19.1956229,72.9668684,,"19.196, 72.967"
19669,Bhaskar Eye And Lens Implant Clinic,,,,"Opp Gavdevi Market, Behind Rupee Co-Op Bank Ghokale Road, Thane (W)","Opp Gavdevi Market, Behind Rupee Co-Op Bank Ghokale Road, Thane (W)",Maharashtra,Thane,,400602,,,,,,,,,,,,,
19670,Criticare Superspeciality Hospital,,,,B/W Hotel Royal Challenge 2 And Cadbury's Ltd E E Highway Thane (W),B/W Hotel Royal Challenge 2 And Cadbury's Ltd E E Highway Thane (W) Thane,Maharashtra,Thane,,400602,,,,,,,,,,19.2266605,72.9838366,,"19.227, 72.984"
19671,Deepashree Eye Clinic And Surgical Centre,,,,A/101 Sindhu Sagar Soc Mahatma Phule Road Opp Dyaneshwar Mangal Karyalay Dombivli W,A/101 Sindhu Sagar Soc Mahatma Phule Road Opp Dyaneshwar Mangal Karyalay Dombivli W Thane,Maharashtra,Thane,,400602,,,,,,,,,,19.2157613,73.0729934,,"19.216, 73.073"
19672,Deodhar Hospitals Pvt. Ltd,,,,"Geet-Ganga, Gokhale Road, Opposite Ice Factory, Navpada, Thane(W)","Geet-Ganga, Gokhale Road, Opposite Ice Factory, Navpada, Thane(W), Thane",Maharashtra,Thane,,400602,,,,,,,,,,19.2266605,72.9838366,,"19.227, 72.984"
19673,DhanvantariDiagnostics And Bapat Urology Center,,,,A K Vaidya Marg Nr Rupee Co-Op Bbank Panchpakhadi Thane - West,A K Vaidya Marg Nr Rupee Co-Op Bbank Panchpakhadi Thane - West,Maharashtra,Thane,,400602,,,,,,,,,,,,,
19674,Divine Brain Spine Hospital and Trauma Center,,,,"1St Floor, Above Godbole Hospital Opp Saraswati Secondary School","1St Floor, Above Godbole Hospital Opp Saraswati Secondary School",Maharashtra,Thane,,400602,,,,,,,,,,,,,
19675,Dr Bansal's Arogya Hospital,,,,"Golden Park Lbs Road, Opp Navneet Motors Thane - West","Golden Park Lbs Road, Opp Navneet Motors Thane - West Thane",Maharashtra,Thane,,400602,,,,,,,,,,19.2266605,72.9838366,,"19.227, 72.984"
19676,Dr Bedekars Hospital,,,,"Shiva Sakthi Maha Rushi Serve Road, Naupada, Thane West","Shiva Sakthi Maha Rushi Serve Road, Naupada, Thane West",Maharashtra,Thane,,400602,,,,,,,,,,,,,
19677,Dr Bodas Gi and Surgical Care Pvt.Ltd,,,,2Nd Floor Near Saibaba Mandir Ghantali Road Thane W,2Nd Floor Near Saibaba Mandir Ghantali Road Thane W-,Maharashtra,Thane,,400602,,,,,,,,,,,,,
19678,Dr Karavade Eye Clinic,,,,"102, Krishnakala, Near Parmarth Niketan, , Opposite Gaondevi Market,Gokhale Road,Naupada, Thane West","102, Krishnakala, Near Parmarth Niketan, Opposite Gaondevi Market,Gokhale Road,Naupada, Thane West,",Maharashtra,Thane,,400602,,,,,,,,,,19.1871159,72.9694667,,"19.187, 72.969"
19679,Dr Milind Patils Revival Bone and Joint Hospital,,,,"Yojana Behind Idbi Bank, Near Malhar Cinema, Off Gokhale Road","Yojana Behind Idbi Bank, Near Malhar Cinema, Off Gokhale Road,",Maharashtra,Thane,,400602,,,,,,,,,,,,,
19680,Dr Shah Unique Smile and Visioncare Clinic,,,,"1, Priyadarshini Apt, Near A. K. Joshi, (Bedekar) English High School, Naupada, Thane (W)","1, Priyadarshini Apt, Near A. K. Joshi, (Bedekar) English High School, Naupada, Thane (W)",Maharashtra,Thane,,400602,,,,,,,,,,,,,
19681,Dr Subodh Mehtas Advance Orthopedic and Joint Replacement Center,,,,"Pasaydan, Next To Dnyanraj Sabhagruh, Sant Dnyaneshwar Marg, Near Tmc Bldg., Panchpakhadi","Pasaydan, Next To Dnyanraj Sabhagruh, Sant Dnyaneshwar Marg, Near Tmc Bldg., Panchpakhadi, Thane",Maharashtra,Thane,,400602,,,,,,,,,,19.1954727,72.9652491,,"19.195, 72.965"
19682,"Dr Uppals Ent Hospital, Thane",,,,"Mohan Heritage, 2Nd Flr, Opp T.M.C., Almeida Road, Thane (W)","Mohan Heritage, 2Nd Flr, Opp T.M.C., Almeida Road, Thane (W)",Maharashtra,Thane,,400602,,,,,,,,,,,,,
19683,Dr Wavikar Eye Hospital,,,,"1St Floor Rameshwar, Near Samarath Bhandar, Ram Maruti Road, Naupada","1St Floor Rameshwar, Near Samarath Bhandar, Ram Maruti Road, Naupada",Maharashtra,Thane,,400602,,,,,,,,,,,,,
19684,Dr. Narkhedes Advance Ent Centre,,,,Naupada,Naupada Thane,Maharashtra,Thane,,400602,,,,,,,,,,19.1902827,72.9711542,,"19.19, 72.971"
19685,Dr. Paradkars Maternity and General Nursing Home - Thane,,,,"Dipalaya Bhaskar Colony, M.G.Road, Naupada, Thane (West)","Dipalaya Bhaskar Colony, M.G.Road, Naupada, Thane (West)",Maharashtra,Thane,,400602,,,,,,,,,,,,,
19686,Dr. Paranjpes Eye Clinic,,,,"` Sulochan`, Near Ing Vysya Bank, Ram Maruti Toad","` Sulochan`, Near Ing Vysya Bank, Ram Maruti Toad, Thane",Maharashtra,Thane,,400602,,,,,,,,,,,,,
19687,Dr. Sankhe Hospital,,,,"Vishwakarma Nagar, Phase -11 ,Ambadi Road, Vasai (W)","Vishwakarma Nagar, Phase -11,Ambadi Road, Vasai (W) Thane",Maharashtra,Thane,,400602,,,,,,,,,,19.3872168,72.8236072,,"19.387, 72.824"
19688,Dr. Sapatnekar Hospital I.C.C.U And Polyclinic,,,,"Mahadev Tower, 1St Floor, Lbs Marg, Near Hari Niwas Circle , Near Hari Niwas Circle, Naupada, Thane West","Mahadev Tower, 1St Floor, Lbs Marg, Near Hari Niwas Circle, Near Hari Niwas Circle, Naupada, Thane West",Maharashtra,Thane,,400602,,,,,,,,,,,,,
19689,Dr. Shahs Unique Smile and Vision Care Clinic,,,,"1, Priyadarshini Apt. Near A.K.Joshi English High School, Naupada, Thane (W)","1, Priyadarshini Apt. Near A.K.Joshi English High School, Naupada, Thane (W)",Maharashtra,Thane,,400602,,,,,,,,,,,,,
19690,"Dr. Uppal's Ent Hospital, Thane",,,,"Mohan Heritage, 2Nd Flr, Opp T.M.C., Almeida Road, Thane (W)","Mohan Heritage, 2Nd Flr, Opp T.M.C., Almeida Road, Thane (W)",Maharashtra,Thane,,400602,,,,,,,,,,,,,
19691,Dr. Vaidyas Eye Centre,,,,"1St Floor, Krishna Apartments, Near Waman Hari Pethe Jewellers , Dada Patil Wadi, Naupada","1St Floor, Krishna Apartments, Near Waman Hari Pethe Jewellers, Dada Patil Wadi, NaupadaThane",Maharashtra,Thane,,400602,,,,,,,,,,,,,
19692,Dr.Kshirsagars Nursing Home,,,,Thane(W),Thane(W),Maharashtra,Thane,,400602,,,,,,,,,,19.2266605,72.9838366,,"19.227, 72.984"
19693,Dr.Paradkar Hospital - Thane,,,,"Dipalaya Bhaskar Colony, Naupada","Dipalaya Bhaskar Colony, Naupada",Maharashtra,Thane,,400602,,,,,,,,,,,,,
